PANTALLA,SECCIÓN,ID,tags,values html,Texto Español,Texto Italiano,Texto Inglés,Texto Portugués,Texto Francés
,partners,{{$store.getters.getTags({tag:'partners_text5'})}},partners_text5,,"Todos nuestros proyectos se llevan a cabo con la concepción de una relación que perdura en el tiempo, para mejorar y refinar cada proceso.",Tutti i nostri progetti si portano avanti nel segno di una relazione che duri nel tempo per migliorare e affinare ogni processo,"All our projects are carried out with the conception of a relationship that lasts over time, to improve and refine each process.","Todos os nossos projetos são realizados com a concepção de um relacionamento que dura ao longo do tempo, para melhorar e refinar cada processo.","Tous nos projets sont réalisés avec la conception d'une relation qui dure dans le temps, afin d'améliorer et d'affiner chaque processus."
,partners,{{$store.getters.getTags({tag:'partners_title4'})}},partners_title4,,ESTRATEGIAS Y CAMPAÑAS DE MARKETING,STRATEGIE E CAMPAGNE MARKETING,STRATEGIES AND MARKETING CAMPAIGNS,ESTRATÉGIAS E CAMPANHAS DE MARKETING,STRATÉGIES ET CAMPAGNES DE MARKETING
,partners,{{$store.getters.getTags({tag:'partners_text6'})}},partners_text6,,"Prestando especial atención al mundo de las redes sociales y los motores de búsqueda, apoyamos a nuestros clientes en todas las fases de lanzamiento y crecimiento.","Dedicando particolare attenzione al mondo dei Social Networks e dei motori di ricerca, affianchiamo ai nostri clienti in tutte le fasi di lancio e crescita della loro pagina web."," Paying special attention to the world of social networks and search engines, we support our clients in all phases of launch and growth."," Prestando atenção especial ao mundo das redes sociais e dos mecanismos de busca, apoiamos nossos clientes em todas as fases de lançamento e crescimento","En accordant une attention particulière au monde des réseaux sociaux et des moteurs de recherche, nous assistons nos clients dans toutes les phases de lancement et de croissance."
,partners,{{$store.getters.getTags({tag:'partners_text7'})}},partners_text7,,¿Qué ofrecemos para hacer crecer tu empresa?,Cosa offriamo per far crescere la tua azienda?,What do we offer to grow your company?,O que oferecemos para expandir sua empresa?,Que proposons-nous pour développer votre entreprise?
,partners,{{$store.getters.getTags({tag:'partners_text8'})}},partners_text8,,SERVICIOS PARA LA AGENCIA,SERVIZI PER LE AGENZIE,SERVICES FOR THE AGENCY,SERVIÇOS PARA A AGÊNCIA,SERVICES POUR L'AGENCE
,partners,{{$store.getters.getTags({tag:'partners_title5'})}},partners_title5,,DOMINIO & HOSTING,DOMINIO E HOSTING,DOMAIN & HOSTING,DOMÍNIO E HOSPEDAGEM,DOMAINE & HEBERGEMENT
,partners,{{$store.getters.getTags({tag:'partners_text9'})}},partners_text9,,"Identificación del dominio de un nuevo registro o transferencia del dominio existente, con su correspondiente web mail. El servicio de alojamiento se proporcionará a través de nuestros servidores.","Identificazione del dominio di  nuova registrazione o trasferimento di quello già esistente, includendo la corrispondente web mail. Il servizio di hosting avverrà attraverso i nostri server.","Identification of the domain of a new registration or transfer of the existing domain, with its corresponding web mail service. The hosting service will be provided through our servers.","Identificação do domínio de um novo registro ou transferência do domínio existente, com seu serviço de webmail correspondente. O serviço de hospedagem será fornecido através de nossos servidores.","Identification du domaine d'un nouvel enregistrement ou transfert du domaine existant, avec son service de messagerie web correspondant. Le service d'hébergement sera fourni via nos serveurs."
,partners,{{$store.getters.getTags({tag:'partners_title6'})}},partners_title6,,BOLETÍN,NEWSLETTER,NEWSLETTER,BOLETIM DE NOTÍCIAS,BULLETIN
,partners,{{$store.getters.getTags({tag:'partners_text10'})}},partners_text10,,Gestión de una lista de contactos personales con la posibilidad de enviar correo electrónico y boletines personalizados con software profesional.,Gestione di una lista di contatti personali con la possibilità di inviare posta elettronica e newsletter personalizzati attraverso un interfaccia professionale.,Management of a list of personal contacts with the possibility of send personalized emails and newsletters using professional software.,Gestão de uma lista de contatos pessoais com a possibilidade de enviar e-mails personalizados e boletim de notícias usando software profissional.,Gestion d'une liste de contacts personnels avec possibilité d'envoyer des emails et des bulletin personnalisés à l'aide d'un logiciel professionnel.
,partners,{{$store.getters.getTags({tag:'partners_title7'})}},partners_title7,,ENTREVISTA,INTERVISTA,INTERVIEW,ENTREVISTA,ENTREVUE
,partners,{{$store.getters.getTags({tag:'partners_text11'})}},partners_text11,,"
Realización de una entrevista telefónica para recopilar información específica sobre tu empresa",Realizzazione di un' intervista telefonica per raccogliere informazioni specifiche sulla tua azienda.,We perform a telephone interview to gather specific information about your company,Realizamos uma entrevista por telefone para coletar informações específicas sobre sua empresa,Nous effectuons un entretien téléphonique pour recueillir des informations spécifiques sur votre entreprise.
,partners,{{$store.getters.getTags({tag:'partners_title8'})}},partners_title8,,BANNERS E IMÁGENES,BANNERS E IMMAGINI,BANNERS AND IMAGES,BANNERS E IMAGENS,BANNIERS ET IMAGES
,partners,{{$store.getters.getTags({tag:'partners_text12'})}},partners_text12,,Creación y publicación de banners e imágenes (usando fotos del cliente o categoría de los archivos fotográficos) cargadas por el equipo editorial.,Creazione e pubblicazione di banners e immagini (utilizzando le foto del cliente o immagini d'archivio online)  caricate dalla nostra redazione.,Creation and publication of banners and images (using photos provided by the client or category of photographic archives) loaded by the editorial team.,Criação e publicação de banners e imagens (usando fotos fornecidas pelo cliente ou categoria de arquivos fotográficos) carregadas pela equipe editorial.,Création et publication de bannières et d'images (à l'aide de photos fournies par le client ou d'une catégorie d'archives photographiques) chargées par l'équipe éditoriale.
,partners,{{$store.getters.getTags({tag:'partners_title9'})}},partners_title9,,RESPONSIVE,RESPONSIVE,RESPONSIVE,RESPONSIVO,RESPONSIVE
,partners,{{$store.getters.getTags({tag:'partners_text13'})}},partners_text13,,"Optimización de sitios web para computadoras, teléfonos inteligentes y tablets.","Ottimizzazione dei siti web per computer, smartphone  e tablet.","Optimization of websites for PCs, smartphones and tablets.","Otimização de sites para PCs, smartphones e tablets.","Optimisation des sites web pour PCs, smartphones et tablettes."
,partners,{{$store.getters.getTags({tag:'partners_title10'})}},partners_title10,,PANEL DE CONTROL,PANNELLO DI CONTROLLO,CONTROL PANEL,PAINEL DE CONTROLE,PANNEAU DE CONTRÔLE
,partners,{{$store.getters.getTags({tag:'partners_text14'})}},partners_text14,,"Acceso a un panel de control para la gestión autónoma de sus textos, imágenes, videos y ofertas.","Accesso a un pannello di controllo per la gestione autonoma di testi, immagini, video e offerte.","Access to a control panel for the autonomous management of your texts, images, videos and offers.","Acesso a um painel de controle para o gerenciamento autônomo de seus textos, imagens, vídeos e ofertas.","Accès à un panneau de contrôle pour la gestion autonome de vos textes, images, vidéos et offres."
,partners,{{$store.getters.getTags({tag:'partners_title11'})}},partners_title11,,REDACCIÓN DE CONTENIDO,REDAZIONE DEI CONTENUTI,WRITING OF CONTENT,ESCRITA DO CONTEÚDO,ECRITURE DE CONTENU
,partners,{{$store.getters.getTags({tag:'partners_text15'})}},partners_text15,,Creación e inserción de contenido textual en una perspectiva SEO para una correcta optimización de su sitio web.,"Creazione ed inserzione dei contenuti testuali in prospettiva SEO, per una corretta ottimizzazione della presenza sui motori di ricerca del suo sito.",Creation and insertion of textual content in an SEO perspective for a correct optimization of your website.,Criação e inserção de conteúdo textual em uma perspectiva de SEO para uma otimização correta do seu site.,Création et insertion de contenu textuel dans une perspective de référencement pour une optimisation correcte de votre site web.
,partners,{{$store.getters.getTags({tag:'partners_title12'})}},partners_title12,,BLOG,BLOG,BLOG,BLOG,BLOG
,partners,{{$store.getters.getTags({tag:'partners_text16'})}},partners_text16,,"Apertura y configuración, primer post de bienvenida, guía y manual de usuario.","Apertura e configurazione, primo post di benvenuto, guida e manuale dell'utente.","Opening and configuration, first welcome post, guide and user manual.","Abertura e configuração, primeiro post de boas-vindas, guia e manual do usuário.","Ouverture et configuration, premier message de bienvenue, guide et manuel d'utilisation"
,partners,{{$store.getters.getTags({tag:'partners_title17'})}},partners_title17,,ASISTENCIA WEB,ASSISTENZA WEB,WEB ASSISTANCE,ASSISTÊNCIA WEB,ASSISTANCE WEB
,partners,{{$store.getters.getTags({tag:'partners_text17'})}},partners_text17,,"Soporte y asistencia de un equipo web profesional, hasta que su sitio esté en línea y se vcumplan 7 tickets de asistencia post-publicación.","Supporto e assistenza da parte di un web team professionale, fino alla messa online del suo sito e con 7 tickets di assistenza post-pubblicazione.","Support and assistance from a professional web team, until your site is online and the 7 post-publication assistance tickets quota are fully paid.","Suporte e assistência de uma equipe web profissional, até que seu site esteja on-line e a cota de tickets de assistência pós-publicação 7 seja totalmente paga.",Assistance et assistance d'une équipe web professionnelle jusqu'à la mise en ligne de votre site et le paiement intégral du quota de 7 tickets d'assistance post-publication.
,partners,{{$store.getters.getTags({tag:'partners_title13'})}},partners_title13,,SECCIONES DEL SITIO,SEZIONI DEL SITO,SITE SECTIONS,SEÇÕES DO SITE,SECTIONS DU SITE
,partners,{{$store.getters.getTags({tag:'partners_text18'})}},partners_text18,"<ol>
                        <li>Página de inicio</li>
                        <li>Nosotros</li>
                        <li>Galería y Banners</li>
                        <li>Ofertas</li>
                        <li>Blog</li>
                        <li>Contactos</li>
                        <li>Comercio Electrónico / Reserva, etc</li>
                    </ol>","<p>Creación en línea y puesta en los servicio de secciones:</p>
<ol><li>Página de inicio</li>
<li>Nosotros</li>
<li> Galería y Banners</li>
<li>Ofertas</li>
<li> Blog</li>
<li>Contactos</li>
<li>Comercio Electrónico / Reserva, etc</li></ol>","<p>Creazione e posizionamento online nel servizio sezioni:</p>
<ol><li>Home page </li>
 <li>Su di noi   </li>
<li>Galleria e Banners  </li>
<li>Offerte  </li>
 <li>.Blog  </li>
 <li>Contatti  </li>
 <li>E-Commerce/Prenotazioni, etc.</li></ol>","<p>Online creation and placement in the sections service:</p>
<ol><li> Home page</li>
<li>Us</li>
<li> Gallery and Banners</li>
<li>Offers</li>
<li> Blog</li>
<li> Contacts</li>
<li>E-Commerce / Reservation, etc</li></ol>","<p>Criação e colocação online no serviço de seções:</p>
<ol><li>Página inicial</li>
<li>Nós</li>
<li> Galeria e Banners</li>
<li>Ofertas</li>
<li> Blog</li>
<li> Contatos</li>
<li> E-Commerce / Reserva, etc</li></ol>","<p>Création et placement en ligne dans le service des sections:</p>
<ol><li>Page d'accueil</li>
<li>Nous</li>
<li> Galerie et Bannières</li>
<li> Offres</li>
<li> Blog</li>
<li> Contacts</li>
<li> E-Commerce / Réservation, etc</li>.</ol>"
,partners,{{$store.getters.getTags({tag:'partners_title14'})}},partners_title14,,TAG,TAG,TAG,TAG,TAG
,partners,{{$store.getters.getTags({tag:'partners_text19'})}},partners_text19,"Sistema de asignación de etiquetas TAG:<br>
                    Palabra clave + Municipio<br>
                    Palabra clave + Provincia<br>
                    Palabra clave + Pipo<br>
                    Palabra clave + Social Ash #<br>","Sistema de asignación de etiquetas TAG:<br>
Palabra clave + Municipio<br>
Palabra clave + Provincia<br>
Palabra clave + Pipo<br>
Palabra clave + Social Ash #<br>","Sistema di assegnazione TAG:<br>
  Parola chiave+ Comune <br>
   Parola chiave + provincia <br>
  Parola chiave + Comune<br>
    Parola chiave + Social Ash#<br>","TAG assignment system:<br>
Keyword + City<br>
Keyword + Province<br>
Keyword + Pipo<br>
Keyword + Social Hash #<br>","Sistema de atribuição TAG:<br>
Palavra-chave + Cidade<br>
Palavra-chave + Província<br>
Palavra-chave + Pipo<br>
Palavra-chave + Hash Social #<br>","Système d'attribution de TAG:<br>
Mot-clé + Ville<br>
Mot-clé + Province<br>
Mot-clé + Pipo<br>
Mot-clé +  Hachage Social #<br>"
,partners,{{$store.getters.getTags({tag:'partners_title15'})}},partners_title15,,E-COMMERCE,E-COMMERCE,E-COMMERCE,COMÉRCIO ELETRÔNICO,COMMERCE ÉLECTRONIQUE
,partners,{{$store.getters.getTags({tag:'partners_text20'})}},partners_text20,,Acceso al panel para la publicación y venta de productos o servicios.,Accesso al pannello per la pubblicazione e la vendita di prodotti o servizi.,Access to the panel for the publication and sale of products or services.,Acesso ao painel para a publicação e venda de produtos ou serviços.,Accès au panneau pour la publication et la vente de produits ou services.
,partners,{{$store.getters.getTags({tag:'partners_title16'})}},partners_title16,,SOCIAL MEDIA,SOCIAL MEDIA,SOCIAL MEDIA,MÍDIA SOCIAL,DES MÉDIAS SOCIAUX
,partners,{{$store.getters.getTags({tag:'partners_text21'})}},partners_text21,,"Apertura de la FanPage de Facebook, Google+, Google MyBusiness e Instagram. 
Plug-in automático para compartir sus noticias / promo de su sitio web.","Apertura della FanPage di Facebook, Google+, Google My Business e Instagram.  Plug-in automatico per condividere notizie/ promozioni della sua pagina web.","Opening of FanPage for Facebook, Google+, Google MyBusiness and Instagram.
Automatic plug-in to share your news / promo of your website.","Abertura da FanPage para Facebook, Google+, Google MyBusiness e Instagram.
Plug-in automático para compartilhar suas notícias / promoções de seu website.","Ouverture de FanPage pour Facebook, Google+, Google MyBusiness et Instagram.
Plug-in automatique pour partager vos news / promo de votre site web."
,Contact,{{$store.getters.getTags({tag:'conctac_text6'})}},conctac_text6,,Email,Email,Email,E-mail,E-mail
,Contact,{{$store.getters.getTags({tag:'conctac_text7'})}},conctac_text7,,Telefono,Telefono,Phone,Telefone,Téléphone
,Contact,{{$store.getters.getTags({tag:'conctac_text8'})}},conctac_text8,,Comentario,Commento,Commet,Comentário,Commentaire
,Careras,{{$store.getters.getTags({tag:'careers_titulo'})}},careers_titulo,,Carreras,Lavora con noi,Careers,Carreiras,Carrières
,Careras,{{$store.getters.getTags({tag:'careers_text1'})}},careers_text1,Queremos vivir contigo la experiencia de <strong>crecer profesionalmente</strong>,Queremos vivir contigo la experiencia de <strong>crecer profesionalmente.</strong>,Vogliamo vivere con te l'esperienza di <strong>crescere professionalmente.</strong>,We want to live with you the experience of <strong>growing professionally.</strong>,Queremos conviver com você a experiência de<strong> crescer profissionalmente.</strong>,Nous voulons vivre avec vous l'expérience de la <strong>croissance professionnelle.</strong>
,Careras,{{$store.getters.getTags({tag:'careers_text2'})}},careers_text2,<h2>¡Tu <span>futuro</span> está aquí!</h2>,<h2>¡Tu futuro está aquí!</h2>,<h2>Il tuo futuro è qui!</h2>,<h2>Your future is here!</h2>,<h2>Seu futuro está aqui!</h2>,<h2>Votre avenir est ici!</h2>
,Careras,{{$store.getters.getTags({tag:'careers_text3'})}},careers_text3,,Proceso de reclutamiento y selección,Processo di selezione e reclutamento,Recruitment and selection process,Recrutamento e processo de seleção,Processus de recrutement et de sélection
,Careras,{{$store.getters.getTags({tag:'careers_text4'})}},careers_text4,Contáctanos,Entrevista por teléfono,Contatto telefonico o via e-mail.,Telephone or e-mail contact,Contato por telefone ou e-mail,Contact téléphonique ou e-mail
,Careras,{{$store.getters.getTags({tag:'careers_text7'})}},careers_text7,,Primera entrevista (presencial u online),Pimo colloquio (presenziale /online),First interview (face-to-face or online),Primeira entrevista (face a face ou online),Première interview (face à face ou en ligne)
,Careras,{{$store.getters.getTags({tag:'careers_text8'})}},careers_text8,,Prueba técnica,Prova tecnica,Technical test,Teste técnico,Test technique
,Careras,{{$store.getters.getTags({tag:'careers_text9'})}},careers_text9,,Oferta Salarial,Offerta salariale,Salary Offer,Oferta de salário,Offre de salaire
,Careras,{{$store.getters.getTags({tag:'careers_text10'})}},careers_text10,,Team Jumperr,Team Jumperr, Team Jumperr, Equipe Jumperr, Équipe Jumperr
,Careras,{{$store.getters.getTags({tag:'careers_text5'})}},careers_text5,,Ofertas de empleo,Offerte d'impiego,Job Vacancies,Férias do Trabalho,Offres D'Emploi
,Careras,{{$store.getters.getTags({tag:'careers_text11'})}},careers_text11,,Diseñador Gráfico,Disegnatore Grafico,Graphic Designer,Designer Gráfico,Designer Graphique
,Careras,{{$store.getters.getTags({tag:'careers_text12'})}},careers_text12,,Desarrollador Front end,Sviluppatore Front end,Frontend Developer,Desenvolvedor Frontend,Développeur Frontend
,Careras,{{$store.getters.getTags({tag:'careers_text13'})}},careers_text13,,Desarrollador Back end,Sviluppatore Back end,Backend Developer,Desenvolvedor Backend,Développeur Backend
,Careras,{{$store.getters.getTags({tag:'careers_text14'})}},careers_text14,,Community Manager,Community Manager,Community Manager,Gerente de Comunidade,Community Manager
,Careras,{{$store.getters.getTags({tag:'careers_text15'})}},careers_text15,,Social Media Manager,Social Media Manager,Social Media Manager,Gerente de Mídia Social,Gestionnaire de Médias Sociaux
,Careras,{{$store.getters.getTags({tag:'careers_text16'})}},careers_text16,,Tiempo Completo,Tempo Pieno,Full time,Tempo completo,Temps complet
,Careras,{{$store.getters.getTags({tag:'careers_text17'})}},careers_text17,,Remoto,Distanza,Remote,Remoto,À distance
,Careras,{{$store.getters.getTags({tag:'careers_text18'})}},careers_text18,,Mas información,Maggiori informazioni,More information,Mais informação,Plus d'informations
,Careras,{{$store.getters.getTags({tag:'careers_text19'})}},careers_text19,,"Encuentra tu perfil, envía tu curriculum y portafolio para formar parte del equipo Jumperr Digital Company","Trova il tuo profilo, invia il tuo curriculum e portfolio per far parte del team Jumperr Digital Company","Find your profile, send your resume and portfolio to be part of the Jumperr Digital Company team","Encontre seu perfil, envie seu currículo e portfólio para fazer parte da equipe da Jumperr Digital Company","Trouvez votre profil, envoyez votre CV et votre portfolio pour faire partie de l'équipe Jumperr Digital Company"
,Careras,{{$store.getters.getTags({tag:'careers_text20'})}},careers_text20,,¿Listo/a para trabajar con nosotros?,Sei pronto per lavorare con noi?,Ready to work with us?,Pronto para trabalhar conosco?,Prêt à travailler avec nous?
,Careras,{{$store.getters.getTags({tag:'careers_text6'})}},careers_text6,,¡Impúlsate con Jumperr!, Datti slancio e lavora con Jumperr!,Propel yourself to work with us at Jumperr!, Prepare-se para trabalhar conosco no Jumper!, Propulsez-vous pour travailler avec nous chez Jumper!
,Careras,{{$store.getters.getTags({tag:'careers_text21'})}},careers_text21,,"Caracas,Venezuela","Caracas, Venezuela",Caracas Venezuela,Caracas Venezuela,"Caracas, Venezuela"
,Careras,{{$store.getters.getTags({tag:'careers_text22'})}},careers_text22,,"Olbia, Italia","Olbia, Italia","Olbia, Italy","Olbia, Itália","Olbia, Italie"
,Careras,{{$store.getters.getTags({tag:'careers_text23'})}},careers_text23,,"Buenos Aires, Argentina","Buenos Aires, Argentina","Buenos Aires, Argentina","Buenos Aires, Argentina","Buenos Aires, Argentine"
,Careras,{{$store.getters.getTags({tag:'careers_text24'})}},careers_text24,,"Sao Puolo, Brasil","San Paolo, Brasile","Sao Paulo, Brazil","São Paulo, Brasil","Sao Paulo, Brésil"
,Careras,{{$store.getters.getTags({tag:'careers_text25'})}},careers_text25,,"Miami, EEUU","Miami, Stati Uniti","Miami, USA","Miami, EUA","Miami, États-Unis"
,Careras,{{$store.getters.getTags({tag:'careers_text26'})}},careers_text26,,Presencial,Presencial,Presential,Presencial,Présentiel
,,{{$store.getters.getTags({tag:'careers_text27'})}},careers_text27,,Bienvenido al Team Jumperr,Benvenuto in Team Jumper,Welcome to Team Jumper,Bem vindo ao Team Jumper,Bienvenue chez Team Jumper
,La Compañia,{{$store.getters.getTags({tag:'company_text1'})}},company_text1,"<strong>Con pasión y entrega</strong> logramos nuestros objectivos de innovar y ayudar a nuestros clientes,
                        al ofrecer <strong>Cultura e Inteligencia Digital.</strong>","<strong>Con pasión y entrega</strong>  logramos nuestros objetivos de innovar y ayudar a nuestros clientes, al ofrecer <strong>Cultura e Inteligencia Digital.</strong> ","<strong>Con passione e dedicazione</strong>  raggiungiamo i nostri obiettivi di innovare ed aiutare ai nostri clienti, offrendo <strong>Cultura e Intelligenza Digitale.</strong> ",<strong>With passion and dedication</strong>  we achieve our objectives of innovating and helping our clients by offering <strong>Culture and Digital Intelligence.</strong> ,"<strong>Com paixão e dedicação</strong> , alcançamos nossos objetivos de inovar e ajudar nossos clientes oferecendo <strong>Cultura e Inteligência Digital.</strong> ","<strong>Avec passion et dévouement,</strong>  nous atteignons nos objectifs d'innover et d'aider nos clients en offrant <strong>Culture et Intelligence numérique.</strong> "
,La Compañia,{{$store.getters.getTags({tag:'text1'})}},text1,,QUIÉNES SOMOS:,CHI SIAMO:,ABOUT US:,SOBRE NÓS:,À PROPOS DE NOUS:
,La Compañia,{{$store.getters.getTags({tag:'company_title1'})}},company_title1,,¡Transformamos tus ideas en Oportunidades Digitales!,Trasformiamo le tue idee in opportunità digitali!,We transform your ideas into Digital Opportunities!,Transformamos suas ideias em Oportunidades Digitais!,Nous transformons vos idées en opportunités numériques!
,La Compañia,{{$store.getters.getTags({tag:'company_text2'})}},company_text2,"<p>
                        Somos una <strong>Digital Company</strong> nacida de la pasión por el mundo digital, 
                        formada por un grupo de <strong>expertos en el desarrollo de tecnología</strong>, 
                        procesamiento de datos y marketing.
                    </p>","<p>Somos una Digital Company nacida de la pasión por el mundo digital, formada por un grupo de expertos en el desarrollo de tecnología, procesamiento de datos y marketing.</p>","<p>Siamo una Digital Company nata dalla passione per il mondo digitale, composta da un gruppo di esperti nello sviluppo della tecnologia, elaborazione dati e marketing.</p>","<p>We are a Digital Company born from a passion for the digital world, formed by a group of experts in technology development, data processing and marketing.</p>","<p>Somos uma empresa digital nascida de uma paixão pelo mundo digital, formada por um grupo de especialistas em desenvolvimento de tecnologia, processamento de dados e marketing.</p>","<p>Nous sommes une entreprise numérique née d'une passion pour le monde numérique, formée d'un groupe d'experts en développement technologique, en traitement de données et en marketing.</p>"
,La Compañia,{{$store.getters.getTags({tag:'text2'})}},text2,,NUESTRA MISIÓN:,MISSIONE:,MISSION:,MISSÃO:,MISSION:
,La Compañia,{{$store.getters.getTags({tag:'company_text3'})}},company_text3,,"Jumperr eres tú, haciendo lo que siempre quisiste hacer.","Jumperr sei tu, facendo quello che hai sempre voluto fare.","Jumperr is you, doing what you always wanted to do.","Jumperr é você, fazendo o que você sempre quis fazer.","Jumperr, c'est vous qui faites ce que vous avez toujours voulu faire."
,La Compañia,{{$store.getters.getTags({tag:'company_text14'})}},company_text14,"<p>
                        Simplificamos la vida de nuestros clientes
                        con la creación de activos digitales como:

                        <strong>sitios web, tiendas online y campañas publicitarias</strong>
                        que generen valor e impacto en los negocios locales, con
                        herramientas que los introduzcan de forma eficiente en el
                        <strong>mercado de comercio electrónico</strong> y del <strong>marketing digital</strong>.
                    </p>","<p>Simplificamos la vida de nuestros clientes con la creación de activos digitales como:  <strong>sitios web, tiendas online y campañas publicitarias</strong> que generen valor e impacto en los negocios locales, con herramientas que los introduzcan de forma eficiente en el  <strong>mercado de comercio electrónico</strong> y del <strong>marketing digital.</strong></p>","<p>Semplifichiamo la vita dei nostri clienti con la creazione di attivi digitali come:  <strong>pagine web, negozi online e campagne pubblicitarie</strong> che generano valore e impatto tra i negozi locali, con strumenti che lo introducano efficacemente nel  <strong>mercato del commercio elettronico</strong> e del <strong>marketing digitale</strong>.</p>","<p>We simplify the lives of our clients with the creation of digital assets such as:  <strong>websites, online stores and advertising campaigns</strong> that generate value and impact on local businesses, with tools that introduce them  <strong>efficiently in the e-commerce</strong> and<strong> digital marketing venue.</strong></p>","<p>Simplificamos a vida de nossos clientes com a criação de ativos digitais como:  <strong>sites, lojas online e campanhas publicitárias</strong> que geram valor e impacto nas empresas locais, com ferramentas que os introduzem de forma <strong> eficiente no e-commerce</strong> e no <strong>marketing digital.</strong></p>","<p>Nous simplifions la vie de nos clients grâce à la création d'actifs numériques tels que des  <strong>sites web, des magasins en ligne et des campagnes publicitaires</strong> générant de la valeur et un impact sur les entreprises locales, avec des outils qui les introduisent  <strong>efficacement dans l'espace de commerce électronique</strong> et de<strong> marketing numérique.</strong></p>"
,La Compañia,{{$store.getters.getTags({tag:'text3'})}},text3,,VISIÓN:,VISIONE:,VIEW:,VISÃO:,VUE:
,La Compañia,{{$store.getters.getTags({tag:'company_text4'})}},company_text4,"<p>
                            Queremos <strong>emocratizar el acceso al comercio electrónico</strong> y al <strong>mercado digital</strong> gracias a nuestros productos automatizados, la inteligencia digital aplicada y el trabajo constante en nombre de nuestros clientes y aliados.
                        </p>","<p>Queremos democratizar el acceso al comercio electrónico y al mercado digital gracias a nuestros productos automatizados, la inteligencia digital aplicada y el trabajo constante en nombre de nuestros clientes y aliados.</p>","<p>Vogliamo democratizzare l'accesso al commercio elettronico e al mercato digitale grazie ai nostri prodotti automatizzati, all'intelligenza digitale applicata ed al lavoro costante per i nostri clienti e partners.</p>","<p>We want to democratize access to electronic commerce and the digital market thanks to our automated products, applied digital intelligence and constant work on behalf of our clients and allies.</p>","<p>Queremos democratizar o acesso ao comércio eletrônico e ao mercado digital graças aos nossos produtos automatizados, inteligência digital aplicada e trabalho constante em prol de nossos clientes e aliados.</p>","<p>Nous voulons démocratiser l'accès au commerce électronique et au marché numérique grâce à nos produits automatisés, à notre intelligence numérique appliquée et à notre travail constant pour le compte de nos clients et alliés.</p>"
,La Compañia,{{$store.getters.getTags({tag:'text4'})}},text4,,¿Por qué elegirnos?,Perchè sceglierci?,Why choose us?,Porque escolher-nos?,Pourquoi nous choisir?
,La Compañia,{{$store.getters.getTags({tag:'company_text5'})}},company_text5,"<p class=""text-white text-center"">
                            Hoy en día hay muchas casas de software que ofrecen servicios y productos digitales; sin embargo, ¡pocas empresas trabajan en <strong>sinergia con sus socios comerciales</strong> para crecer juntos!
                        </p>","<p class=""text-white text-center"">Hoy en día hay muchas casas de software que ofrecen servicios y productos digitales; sin embargo, ¡pocas empresas trabajan en sinergia con sus socios comerciales para crecer juntos!</p>","<p class=""text-white text-center"">Esistono molte software house che offrono servizi e prodotti digitali ma poche lavorano in sinergia con i propri clienti</p>","<p class=""text-white text-center"">Today there are many software houses that offer digital products and services; however, few companies work in synergy with their business partners to grow together!</p>","<p class=""text-white text-center"">Hoje existem muitas casas de software que oferecem produtos e serviços digitais; no entanto, poucas empresas trabalham em sinergia com seus parceiros de negócios para crescer juntas!</p>","<p class=""text-white text-center"">Aujourd'hui, de nombreux éditeurs de logiciels proposent des produits et des services numériques. Cependant, peu d'entreprises travaillent en synergie avec leurs partenaires commerciaux pour se développer ensemble!</p>"
,La Compañia,{{$store.getters.getTags({tag:'company_text6'})}},company_text6,,¿Dónde estamos?,Dove siamo?,Where we are?,Onde estamos?,Où nous sommes?
,La Compañia,{{$store.getters.getTags({tag:'text5'})}},text5,,TEAM JUMPERR,TEAM JUMPERR,TEAM JUMPERR,EQUIPE JUMPERR,ÉQUIPE JUMPERR
,La Compañia,{{$store.getters.getTags({tag:'company_text7'})}},company_text7,,"Un equipo ágil, dinámico y altamente capacitado te brinda soluciones acordes a tus ideas o negocio.
","Un gruppo agile, dinamico e altamente qualificato ti offre soluzioni adeguate alle tue esigenze.","An agile, dynamic and highly trained team provides solutions according to your ideas or business model.","Uma equipe ágil, dinâmica e altamente treinada fornece soluções de acordo com suas ideias ou modelo de negócio.","Une équipe agile, dynamique et hautement qualifiée fournit des solutions adaptées à vos idées ou à votre modèle d'entreprise."
,La Compañia,{{$store.getters.getTags({tag:'company_text8'})}},company_text8,,Confiabilidad,affidabilità,Reliability,Confiabilidade,La fiabilité
,La Compañia,{{$store.getters.getTags({tag:'company_text9'})}},company_text9,,Velocidad,velocità,Speed,Speed,La vitesse
,La Compañia,{{$store.getters.getTags({tag:'company_text10'})}},company_text10,,Calidad,qualità,Quality,Qualidade,La qualité
,La Compañia,{{$store.getters.getTags({tag:'company_text11'})}},company_text11,,Transparencia,trasparenza,Transparency,Transparência,La transparence
,La Compañia,{{$store.getters.getTags({tag:'company_text12'})}},company_text12,,Profesionalidad,professionismo,Professionalism,Profissionalismo,Le professionnalisme
,LA Compañia,{{$store.getters.getTags({tag:'company_text15'})}},company_text15,,Queremos democratizar el acceso al comercio electrónico y al mercado digital,Vogliamo democratizzare l'accesso al commercio elettronico e al mercato digitale,We want to democratize access to electronic commerce and the digital market,Queremos democratizar o acesso ao comércio eletrônico e ao mercado digital,Nous voulons démocratiser l'accès au commerce électronique et au marché numérique
,La Compañia,{{$store.getters.getTags({tag:'company_text13'})}},company_text13,,Conquistando el mundo digital,Conquistare il mondo digitale,Conquering the digital world,Conquistando o mundo digital,À la conquête du monde numérique
